,human_scores,bary,bertscore,bleu,chrf,depth,meteor,rouge1,rouge2,rougeL,sacrebleu,ter
human_scores,1.0,-0.69738267725696,0.6836243800978514,0.3856744837898394,0.5547539456350123,-0.39571630789732054,0.5622965936312128,0.5087758304892184,0.530502726364953,0.5774691146640824,0.4717779886528952,-0.47211759843474926
bary,-0.69738267725696,1.0,-0.939807364346895,-0.45714635794249897,-0.6966335826037033,0.551852002821126,-0.7406457014957736,-0.7211114043938237,-0.6514227406585604,-0.690522971791535,-0.5801634856733214,0.5819675171662634
bertscore,0.6836243800978514,-0.939807364346895,1.0,0.49930493616492944,0.75288528856551,-0.5797896753634809,0.7855442215881097,0.7471992615623692,0.690246232008721,0.6929894806503896,0.5941018998896258,-0.54368375489833
bleu,0.3856744837898394,-0.45714635794249897,0.49930493616492944,1.0,0.6215021749751549,-0.2887561255100932,0.6058601747890192,0.557106984169318,0.7312206480581718,0.5798694145905386,0.9102187148210343,-0.526150994678459
chrf,0.5547539456350123,-0.6966335826037033,0.75288528856551,0.6215021749751549,1.0,-0.44147406815513274,0.8424106617438097,0.8195090844117806,0.8275692681398121,0.7122581579438291,0.6913442734555407,-0.5325918215927644
depth,-0.39571630789732054,0.551852002821126,-0.5797896753634809,-0.2887561255100932,-0.44147406815513274,1.0,-0.44535572415312524,-0.44600697964637026,-0.40400727313664225,-0.3441062905977249,-0.26805133116411656,0.34887485258544954
meteor,0.5622965936312128,-0.7406457014957736,0.7855442215881097,0.6058601747890192,0.8424106617438097,-0.44535572415312524,1.0,0.8399342091476099,0.8220525376843189,0.7531409101182424,0.6834684841917147,-0.5759795837141194
rouge1,0.5087758304892184,-0.7211114043938237,0.7471992615623692,0.557106984169318,0.8195090844117806,-0.44600697964637026,0.8399342091476099,1.0,0.801819672456142,0.7923070999673054,0.6095419323497576,-0.5979060317419039
rouge2,0.530502726364953,-0.6514227406585604,0.690246232008721,0.7312206480581718,0.8275692681398121,-0.40400727313664225,0.8220525376843189,0.801819672456142,1.0,0.785840195858063,0.7943986671657138,-0.6702990862602298
rougeL,0.5774691146640824,-0.690522971791535,0.6929894806503896,0.5798694145905386,0.7122581579438291,-0.3441062905977249,0.7531409101182424,0.7923070999673054,0.785840195858063,1.0,0.6941136274264086,-0.7064063843595056
sacrebleu,0.4717779886528952,-0.5801634856733214,0.5941018998896258,0.9102187148210343,0.6913442734555407,-0.26805133116411656,0.6834684841917147,0.6095419323497576,0.7943986671657138,0.6941136274264086,1.0,-0.5852430364579833
ter,-0.47211759843474926,0.5819675171662634,-0.54368375489833,-0.526150994678459,-0.5325918215927644,0.34887485258544954,-0.5759795837141194,-0.5979060317419039,-0.6702990862602298,-0.7064063843595056,-0.5852430364579833,1.0
